"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"172",2002,6,1,168,209,1
"173",2002,6,2,90,110,0
"174",2002,6,3,211,294,0
"175",2002,6,4,155,221,2
"176",2002,6,5,166,206,1
"177",2002,6,6,134,207,0
"178",2002,6,7,161,214,0
"179",2002,6,8,169,232,2
"180",2002,6,9,204,274,1
"181",2002,7,NA,87,125,2
"182",2002,7,1,183,238,0
"183",2002,7,2,119,153,0
"184",2002,7,3,206,277,0
"185",2002,7,4,172,227,1
"186",2002,7,5,135,197,2
"187",2002,7,6,147,204,0
"188",2002,7,7,175,240,0
"189",2002,7,8,220,291,1
"190",2002,7,9,247,335,2
"191",2002,8,NA,40,57,0
"192",2002,8,1,84,117,0
"193",2002,8,2,61,95,0
"194",2002,8,3,109,163,0
"195",2002,8,4,76,105,0
"196",2002,8,5,73,110,1
"197",2002,8,6,50,70,0
"198",2002,8,7,90,125,1
"199",2002,8,8,85,120,1
"200",2002,8,9,124,179,2
"201",2002,9,NA,53,73,0
"202",2002,9,1,211,260,0
"203",2002,9,2,105,151,1
"204",2002,9,3,185,237,0
"205",2002,9,4,154,210,1
"206",2002,9,5,145,209,0
"207",2002,9,6,135,184,1
"208",2002,9,7,154,208,1
"209",2002,9,8,205,286,1
"210",2002,9,9,189,264,0
"211",2002,10,NA,64,86,0
"212",2002,10,1,225,296,0
"213",2002,10,2,135,171,2
"214",2002,10,3,235,324,0
"215",2002,10,4,179,239,1
"216",2002,10,5,135,192,0
"217",2002,10,6,147,189,0
"218",2002,10,7,190,239,0
"219",2002,10,8,228,298,1
"220",2002,10,9,240,353,1
"221",2002,11,NA,57,79,2
"222",2002,11,1,250,327,1
"223",2002,11,2,131,174,0
"224",2002,11,3,197,276,0
"225",2002,11,4,183,234,1
"226",2002,11,5,157,228,1
"227",2002,11,6,138,185,1
"228",2002,11,7,166,243,1
"229",2002,11,8,223,309,1
"230",2002,11,9,198,270,0
"231",2002,12,NA,60,87,0
"232",2002,12,1,206,271,0
"233",2002,12,2,140,191,0
"234",2002,12,3,162,225,0
"235",2002,12,4,128,181,0
"236",2002,12,5,115,176,1
"237",2002,12,6,122,166,0
"238",2002,12,7,142,185,0
"239",2002,12,8,183,294,0
"240",2002,12,9,165,232,0
"241",2003,1,NA,45,84,0
"242",2003,1,1,168,235,1
"243",2003,1,2,94,125,0
"244",2003,1,3,156,215,0
"245",2003,1,4,108,145,0
"246",2003,1,5,120,160,0
"247",2003,1,6,87,125,0
"248",2003,1,7,130,186,1
"249",2003,1,8,162,227,0
"250",2003,1,9,166,232,0
"251",2003,2,NA,48,70,0
"252",2003,2,1,145,168,0
"253",2003,2,2,94,128,0
"254",2003,2,3,147,213,0
"255",2003,2,4,129,187,0
"256",2003,2,5,113,146,2
"257",2003,2,6,84,126,1
"258",2003,2,7,111,146,0
"259",2003,2,8,142,206,1
"260",2003,2,9,133,188,1
"261",2003,3,NA,57,85,0
"262",2003,3,1,170,218,0
"263",2003,3,2,101,134,0
"264",2003,3,3,167,229,1
"265",2003,3,4,159,194,0
"266",2003,3,5,159,229,2
"267",2003,3,6,118,163,2
"268",2003,3,7,157,228,0
"269",2003,3,8,181,242,1
"270",2003,3,9,210,323,2
"271",2003,4,NA,68,87,0
"272",2003,4,1,180,238,0
"273",2003,4,2,97,140,1
"274",2003,4,3,170,225,1
"275",2003,4,4,131,183,0
"276",2003,4,5,142,200,3
"277",2003,4,6,124,171,0
"278",2003,4,7,136,198,0
"279",2003,4,8,165,198,0
"280",2003,4,9,194,261,0
"281",2003,5,NA,74,91,1
"282",2003,5,1,213,260,0
"283",2003,5,2,112,153,2
"284",2003,5,3,207,301,1
"285",2003,5,4,180,244,1
"286",2003,5,5,167,222,2
"287",2003,5,6,136,189,1
"288",2003,5,7,192,257,0
"289",2003,5,8,211,277,1
"290",2003,5,9,257,364,1
"291",2003,6,NA,68,89,1
"292",2003,6,1,189,228,0
"293",2003,6,2,101,135,1
"294",2003,6,3,188,238,0
"295",2003,6,4,170,222,0
"296",2003,6,5,152,213,2
"297",2003,6,6,136,180,1
"298",2003,6,7,199,273,3
"299",2003,6,8,194,256,2
"300",2003,6,9,230,329,2
"301",2003,7,NA,55,62,0
"302",2003,7,1,175,207,0
"303",2003,7,2,99,126,0
"304",2003,7,3,171,220,0
"305",2003,7,4,147,178,1
"306",2003,7,5,130,167,1
"307",2003,7,6,135,183,0
"308",2003,7,7,142,189,2
"309",2003,7,8,181,243,0
"310",2003,7,9,188,231,0
"311",2003,8,NA,24,24,0
"312",2003,8,1,64,77,0
"313",2003,8,2,53,68,2
"314",2003,8,3,92,131,0
"315",2003,8,4,70,99,2
"316",2003,8,5,55,79,0
"317",2003,8,6,57,78,0
"318",2003,8,7,87,122,0
"319",2003,8,8,87,119,0
"320",2003,8,9,110,164,1
"321",2003,9,NA,57,77,0
"322",2003,9,1,181,233,0
"323",2003,9,2,86,116,0
"324",2003,9,3,188,263,1
"325",2003,9,4,116,161,0
"326",2003,9,5,138,184,1
"327",2003,9,6,119,148,0
"328",2003,9,7,181,230,1
"329",2003,9,8,172,212,3
"330",2003,9,9,166,215,3
"331",2003,10,NA,61,88,0
"332",2003,10,1,222,268,0
"333",2003,10,2,116,145,1
"334",2003,10,3,234,315,0
"335",2003,10,4,171,231,2
"336",2003,10,5,146,199,0
"337",2003,10,6,142,183,0
"338",2003,10,7,190,251,0
"339",2003,10,8,213,284,1
"340",2003,10,9,211,282,1
"341",2003,11,NA,50,66,1
"342",2003,11,1,182,225,1
"343",2003,11,2,88,125,0
"344",2003,11,3,167,228,0
"345",2003,11,4,127,171,0
"346",2003,11,5,155,196,0
"347",2003,11,6,135,179,0
"348",2003,11,7,174,229,2
"349",2003,11,8,162,203,2
"350",2003,11,9,197,291,1
"351",2003,12,NA,64,90,0
"352",2003,12,1,167,221,0
"353",2003,12,2,119,161,0
"354",2003,12,3,174,224,0
"355",2003,12,4,115,155,0
"356",2003,12,5,151,201,0
"357",2003,12,6,98,133,0
"358",2003,12,7,169,224,0
"359",2003,12,8,164,220,0
"360",2003,12,9,185,249,0
"361",2004,1,NA,39,61,0
"362",2004,1,1,151,172,1
"363",2004,1,2,84,117,0
"364",2004,1,3,162,205,0
"365",2004,1,4,115,156,1
"366",2004,1,5,119,163,0
"367",2004,1,6,101,146,1
"368",2004,1,7,118,170,1
"369",2004,1,8,151,204,2
"370",2004,1,9,171,241,0
"371",2004,2,NA,42,55,0
"372",2004,2,1,144,165,1
"373",2004,2,2,68,93,0
"374",2004,2,3,136,172,0
"375",2004,2,4,112,165,0
"376",2004,2,5,126,189,1
"377",2004,2,6,97,135,1
"378",2004,2,7,114,164,0
"379",2004,2,8,136,186,1
"380",2004,2,9,157,215,1
"381",2004,3,NA,55,75,0
"382",2004,3,1,171,229,0
"383",2004,3,2,90,121,0
"384",2004,3,3,170,218,0
"385",2004,3,4,120,151,1
"386",2004,3,5,123,174,1
"387",2004,3,6,96,143,0
"388",2004,3,7,128,162,0
"389",2004,3,8,159,225,0
"390",2004,3,9,186,244,0
"391",2004,4,NA,66,91,0
"392",2004,4,1,165,214,0
"393",2004,4,2,88,124,1
"394",2004,4,3,177,226,0
"395",2004,4,4,134,187,1
"396",2004,4,5,134,195,0
"397",2004,4,6,115,143,0
"398",2004,4,7,166,230,2
"399",2004,4,8,158,220,0
"400",2004,4,9,188,256,2
"401",2004,5,NA,63,76,0
"402",2004,5,1,214,292,0
"403",2004,5,2,110,142,1
"404",2004,5,3,195,259,1
"405",2004,5,4,151,190,0
"406",2004,5,5,157,223,2
"407",2004,5,6,129,164,1
"408",2004,5,7,157,217,0
"409",2004,5,8,189,239,3
"410",2004,5,9,213,297,1
"411",2004,6,NA,58,74,2
"412",2004,6,1,172,206,2
"413",2004,6,2,94,129,1
"414",2004,6,3,206,280,0
"415",2004,6,4,170,211,1
"416",2004,6,5,174,232,2
"417",2004,6,6,136,178,1
"418",2004,6,7,179,245,1
"419",2004,6,8,199,263,0
"420",2004,6,9,189,304,1
"421",2004,7,NA,71,91,0
"422",2004,7,1,169,208,0
"423",2004,7,2,96,135,0
"424",2004,7,3,216,295,0
"425",2004,7,4,142,192,3
"426",2004,7,5,157,210,1
"427",2004,7,6,103,131,0
"428",2004,7,7,162,203,0
"429",2004,7,8,201,264,0
"430",2004,7,9,212,274,0
"431",2004,8,NA,30,37,0
"432",2004,8,1,56,76,0
"433",2004,8,2,64,98,0
"434",2004,8,3,101,137,0
"435",2004,8,4,58,84,0
"436",2004,8,5,78,106,0
"437",2004,8,6,60,71,0
"438",2004,8,7,63,88,1
"439",2004,8,8,79,100,0
"440",2004,8,9,110,150,1
"441",2004,9,NA,66,88,1
"442",2004,9,1,177,221,0
"443",2004,9,2,113,156,0
"444",2004,9,3,182,248,0
"445",2004,9,4,146,174,1
"446",2004,9,5,137,190,2
"447",2004,9,6,106,132,0
"448",2004,9,7,161,223,1
"449",2004,9,8,184,257,0
"450",2004,9,9,188,267,1
"451",2004,10,NA,73,100,0
"452",2004,10,1,223,278,2
"453",2004,10,2,118,165,0
"454",2004,10,3,243,321,1
"455",2004,10,4,177,226,1
"456",2004,10,5,149,200,2
"457",2004,10,6,127,165,1
"458",2004,10,7,157,196,1
"459",2004,10,8,222,297,0
"460",2004,10,9,221,308,1
"461",2004,11,NA,59,80,0
"462",2004,11,1,159,200,0
"463",2004,11,2,79,117,0
"464",2004,11,3,203,267,0
"465",2004,11,4,135,194,0
"466",2004,11,5,130,187,2
"467",2004,11,6,106,149,0
"468",2004,11,7,115,144,1
"469",2004,11,8,179,256,1
"470",2004,11,9,210,277,4
"471",2004,12,NA,60,84,0
"472",2004,12,1,157,200,0
"473",2004,12,2,97,135,1
"474",2004,12,3,164,238,0
"475",2004,12,4,119,153,0
"476",2004,12,5,139,193,3
"477",2004,12,6,111,159,1
"478",2004,12,7,130,169,1
"479",2004,12,8,194,245,1
"480",2004,12,9,185,271,0
"481",2005,1,NA,41,56,0
"482",2005,1,1,125,159,1
"483",2005,1,2,76,111,0
"484",2005,1,3,151,203,1
"485",2005,1,4,108,139,0
"486",2005,1,5,111,164,1
"487",2005,1,6,97,137,1
"488",2005,1,7,97,144,0
"489",2005,1,8,130,175,4
"490",2005,1,9,132,194,0
"491",2005,2,NA,50,64,0
"492",2005,2,1,146,193,2
"493",2005,2,2,75,104,0
"494",2005,2,3,139,196,0
"495",2005,2,4,112,136,1
"496",2005,2,5,120,173,1
"497",2005,2,6,87,130,2
"498",2005,2,7,87,119,1
"499",2005,2,8,134,178,3
"500",2005,2,9,148,200,0
"501",2005,3,NA,57,82,0
"502",2005,3,1,133,157,1
"503",2005,3,2,75,100,0
"504",2005,3,3,150,210,1
"505",2005,3,4,100,123,2
"506",2005,3,5,129,169,1
"507",2005,3,6,101,130,1
"508",2005,3,7,126,170,1
"509",2005,3,8,167,217,1
"510",2005,3,9,147,206,2
"511",2005,4,NA,59,82,0
"512",2005,4,1,166,209,1
"513",2005,4,2,73,90,0
"514",2005,4,3,145,195,0
"515",2005,4,4,146,193,1
"516",2005,4,5,138,205,2
"517",2005,4,6,123,149,0
"518",2005,4,7,141,185,0
"519",2005,4,8,132,173,1
"520",2005,4,9,186,256,0
"521",2005,5,NA,79,95,0
"522",2005,5,1,210,278,1
"523",2005,5,2,102,138,1
"524",2005,5,3,193,249,1
"525",2005,5,4,152,206,1
"526",2005,5,5,118,163,0
"527",2005,5,6,109,140,0
"528",2005,5,7,166,224,1
"529",2005,5,8,201,249,1
"530",2005,5,9,210,296,1
"531",2005,6,NA,61,78,0
"532",2005,6,1,162,200,1
"533",2005,6,2,98,128,0
"534",2005,6,3,185,241,0
"535",2005,6,4,118,168,1
"536",2005,6,5,142,218,0
"537",2005,6,6,116,147,0
"538",2005,6,7,142,198,0
"539",2005,6,8,216,287,0
"540",2005,6,9,196,264,2
"541",2005,7,NA,61,80,2
"542",2005,7,1,156,194,0
"543",2005,7,2,101,130,0
"544",2005,7,3,195,257,1
"545",2005,7,4,166,224,0
"546",2005,7,5,151,222,0
"547",2005,7,6,110,136,0
"548",2005,7,7,153,195,2
"549",2005,7,8,160,219,0
"550",2005,7,9,172,242,0
"551",2005,8,NA,39,51,0
"552",2005,8,1,79,111,0
"553",2005,8,2,65,94,0
"554",2005,8,3,106,139,2
"555",2005,8,4,76,97,1
"556",2005,8,5,87,120,0
"557",2005,8,6,66,87,0
"558",2005,8,7,83,104,1
"559",2005,8,8,77,102,0
"560",2005,8,9,118,164,0
"561",2005,9,NA,64,96,0
"562",2005,9,1,172,209,1
"563",2005,9,2,99,129,1
"564",2005,9,3,153,201,1
"565",2005,9,4,127,183,1
"566",2005,9,5,124,175,1
"567",2005,9,6,119,157,1
