"","Anno","Mese","Incidenti","Feriti","Morti"
"180",2015,12,625,815,5
"181",2016,1,637,844,7
"182",2016,2,706,970,1
"183",2016,3,728,1011,2
"184",2016,4,821,1073,2
"185",2016,5,866,1168,2
"186",2016,6,767,987,5
"187",2016,7,770,1014,4
"188",2016,8,429,585,1
"189",2016,9,774,1027,5
"190",2016,10,873,1111,3
"191",2016,11,819,1080,8
"192",2016,12,580,751,5
"193",2017,1,562,725,3
"194",2017,2,597,788,4
"195",2017,3,788,1016,3
"196",2017,4,717,954,4
"197",2017,5,794,1026,4
"198",2017,6,759,971,1
"199",2017,7,691,898,7
"200",2017,8,428,565,2
"201",2017,9,746,978,5
"202",2017,10,790,1029,2
"203",2017,11,773,988,3
"204",2017,12,652,810,9
"205",2018,1,635,837,8
"206",2018,2,627,819,3
"207",2018,3,653,842,2
"208",2018,4,675,908,2
"209",2018,5,801,1036,4
"210",2018,6,794,989,2
"211",2018,7,667,929,2
"212",2018,8,369,475,2
"213",2018,9,758,991,7
"214",2018,10,837,1059,7
"215",2018,11,782,968,3
"216",2018,12,656,856,4
"217",2019,1,616,788,2
"218",2019,2,608,789,1
"219",2019,3,775,965,2
"220",2019,4,702,908,4
"221",2019,5,765,990,3
"222",2019,6,709,946,3
"223",2019,7,703,909,5
"224",2019,8,363,459,2
"225",2019,9,690,908,0
"226",2019,10,801,1030,2
"227",2019,11,753,939,5
"228",2019,12,633,844,3
"229",2020,1,535,678,4
"230",2020,2,532,660,4
"231",2020,3,199,256,3
"232",2020,4,87,107,0
"233",2020,5,338,413,2
"234",2020,6,513,608,3
"235",2020,7,581,716,2
"236",2020,8,357,464,1
"237",2020,9,687,860,1
"238",2020,10,651,788,3
"239",2020,11,362,436,1
"240",2020,12,412,495,5
"241",2021,1,353,430,1
"242",2021,2,463,571,0
"243",2021,3,483,576,3
"244",2021,4,529,633,0
"245",2021,5,733,886,6
"246",2021,6,761,910,2
"247",2021,7,680,857,1
"248",2021,8,410,526,3
"249",2021,9,761,988,4
"250",2021,10,828,1036,6
"251",2021,11,720,901,4
"252",2021,12,565,704,1
